report,datetime,coords,Did you follow the GTOA protocol (drop sails\ stop boat\ engine off and keep a low profile) and how long did the interaction continue?,Boat Type,Boat length (metres),Were you towing an inflatable and if so did the orcas interact with it before interacting with the boat?,Were you trailing a fishing lure when the interaction commenced?,During the Interaction did one or more orcas make physical contact with the boat?,Number of adult orcas seen,Rudder,Motoring or sailing,Speed (knots),Sea state,Wind speed (Beaufort),Darkness or daylight,Cloud cover,Distance off land (nautical miles),Depth (metres),Depth gauge,Autopilot,Hull topsides colour,Antifoul colour,Was the boat damaged and in need of repair?,Was a tow required?,Response by crew,Behaviour of orcas,Stage of day,Moon,Tide,Number of juvenile orcas seen,Did you manage to reverse before the orca hit the boat?,Did the orca hit the rudder?,Did the orca hit the bow?,Did any method stop the orca hitting the rudder? (Tick any method that worked),Did they return?,Number of orcas\ uncertain of age\ seen,How did you reverse? (Tick any method you tried),How long did you reverse for?,If you reversed in a circle did the orcas hit the rudder by coming from,Did the orca leave the area when you reversed?,Please describe the behaviour of the orca before and during reversing,When they returned were you
Report ID: Inter39,2022-08-15 01:15:00,43 17.0000 N\ 9 3.0000 W,Yes\ followed protocol\ interaction lasted 30 to 60 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Motoring,5 - 7,Calm,5 - 6 (17 - 27 knots),Night,25 - 50%,2 - 5,40 - 200m,On,On,White/light,Blue,Yes\ extensive - major works required,Yes,Accélération du bateau : aucun effet. Mise au point mort du moteur : pas d’effet. Arrêt total du moteur : fin de l’interaction /// Boat acceleration: no effect. Engine neutral: no effect. Total motor stop: end of interaction,Tétanisés \ nous n’avions aucune envie de les voir \ rien que d’entendre leur souffle quand ils attaquaient nous donnait envie d’avoir une arme de gros calibre pour les tuer !!!!!! /// Paralyzed\ we had no desire to see them\ just to hear their breath when they attacked made us want to have a large caliber weapon to kill them!!!!!!,before dawn,waning\88% illuminated,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter38,2022-07-28 15:30:00,43 18.0000 N\ 9 1.0000 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,Under 10m,Not towing,,,,Semi skeg,Motoring,3 - 4,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,2 - 5,40 - 200m,Off,On,White/light,Black,No,No,J'ai juste vu une seule orque à 2 reprises à côte du bateau\ elle ne m'a rien fait elle était occupée a faire quelque chose\ j'ai continué ma route normalement en espérant qu'elle continue à être occupée. Il y avait un autre bateau qui tirait des bords a la voile pas très loin et elle n'a pas été intéressée non plus. /// I just saw a single killer whale twice near the boat\ she didn't do anything to me she was busy doing something\ I continued my journey normally hoping that she continues to be busy. There was another boat tacking not too far away and she wasn't interested either.,L'orque était seule et avait l'air occupée\ elle bougeait lentement\ je n'ai vraiment pas eu l'air de l'intéresser alors que je suis passée au moteur à 50m d'elle. Meme s'il n'y a pas eu d'interaction j'ai pensé que ça pourrait être utile que vous le sachiez. /// The orca was alone and looked busy\ she was moving slowly\ I really didn't seem to care about her as I switched to the engine 50m from her. Even though there was no interaction\ I thought it might be useful for you to know.,daytime,waning\0% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter37,2022-08-15 07:30:00,46 30.8150 N\ 5 3.1470 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Full skeg,Sailing,5 - 7,Moderate,3 - 4 (7 - 16 knots),Dawn,25 - 50%,Over 10,200m+,On,On,White/light,Black,Yes\ minor - will wait until the end of the season,No,1ier contact visuel à 7h30 heure locale\ de 3 orques à l’arrière du bateau\ au niveau de la 2ieme vague de poupe. Quelques secondes plus tard\ bruit contre la coque. Puis 1 orque (le plus gros\ les 2 autres étaient un peu en retrait sur sa gauche) collé à bâbord le long de la coque a poussé le voilier\ ce qui a eu effet de nous faire abattre malgré le pilote automatique engagé. Cela a eu pour effet de faire claquer le génois\ ce qui les a fait plonger immédiatement. Tout cela a été très rapide\ ne laissant pas le temps d’engager le protocole. /// 1st visual contact at 7:30 a.m. local time\ of 3 killer whales at the back of the boat\ at the level of the 2nd wave at the stern. A few seconds later\ noise against the hull. Then 1 killer whale (the biggest\ the 2 others were a little behind on its left) came alongside to port along the hull pushed the sailboat\ which had the effect of making change course despite the autopilot engaged. This had the effect of flapping the genoa causing them to dive immediately. All this was very fast\ leaving no time to initiate the protocol.,Silencieux et très calmes. /// Quiet and very calm.,daytime,waning\86% illuminated,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter36,2022-07-12 16:00:00,43 53.9290 N\ 8 1.7600 W,Yes\ followed protocol\ interaction lasted more than 60 minutes,Sail,10 - 12.5m,Not towing,,,,Full skeg,Motoring,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,Over 10,40 - 200m,On,On,White/light,Black,Yes\ moderate - immediate repairs required,Yes,we sail along with motor and the main sail up. steering with autopilot. we see 1 orca and then the rudder gets a quick hit. we shut the motor off and take the mainsail down. i hurry and disconnect the autopilot from the rudder quadrant to prevent further damage. after the first hit we hear or see nothing for 20 minutes. we lay completly still in the water. we then decide to start the engine and motor away from the area\ but the second the motor is turned on\ the attack starts again. we think it was waiting. there are now two orcas and they push the rudder to the portside mainly. Also we feel at least 2 hard pushes on the keel. we decide to disconnect everything connected to the rudder so it can swing freely from side to side. After about 1 hour we can see they slowly move away and we wait for 30 minutes to be sure they are gone. we can feel we may have some rudder left and we decide to put the spare rudder-arm on\ and set a small sail to control the boat to nearby harbour. as we reach 1.5 knots of speed\ we are attacked again. at this point we call the coastguard. the orcas was still around us pushing the rudder as the coastguard arrive 40 minutes later. at this point we notice the depth sounder was still active and we turn it off. the Spanish coastguard towed us away and the orcas did not follow us. they did not manage to do damage to our rudder because it could swing freely out to the side of the boat and we are unsure if it was the coastguard ship or shutting off the depth sounder that made them leave. looking back we should have been more patient with moving. we still need to have the boat up on land to inspect the damage more clearly as there might be cracks in the fiberglass or hinges. also i dont know if it has been reported\ but a french sailing vessel was towed in 2 hours after us and they was being chased all the way in.,the orcas was spending alot of time observing the rudder and they waited a long time to see if anything moved. it seemed like movement and sound triggered the attacks. they would push it slowly and with force\ but with no succes. then maybe the frustration made them push the boat. Also we think it was playing type of behavior\ since they was first hiding under water with no bubbles or movement under the boat. and second time they let us see them swim far away\ only to circle back under water and wait again\ ready to attack. it seemed like they wanted us to move the rudder or boat so they could keep playing.,daytime,waxing\98% illuminated\within 3 days of full,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter34,2022-08-12 09:20:00,43 43.8420 N\ 8 5.2150 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Semi skeg,Motorsailing,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,75 - 100%,2 - 5,40 - 200m,On,On,White/light,Red,Yes\ moderate - immediate repairs required,No,The incident itself happened similar to all the other stories. Started with feeling some slight shakes within the boat followed by the orca appearing in very small distance close to our boat.,The orca circled the boat and from time to time attacked from the stern towards the rudder and hit this about 6-7 times very strong. Damage in the steering cable and rotation of the rudder triangle happened. After about 8 minutes of time he left us. First we tried to not do anything\ after 2-3 hits we tried to reverse that didn’t help either\ the last few attacks we always went full speed forward when we saw him diving towards the rudder. At least there after he left.,daytime,waning\100% illuminated\within 3 days of full,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter33,2022-08-10 14:00:00,43 18.3300 N\ 8 59.1600 W,No\ did not follow protocol\ interaction lasted 10 to 30 minutes,Sail,10 - 12.5m,Not towing,,,,Spade,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,40 - 200m,On,Off,White/light,Black,Yes\ moderate - immediate repairs required,No,One young orca. 6-7 interactions under 10 minutes. Two times the boat went 360 degrees. We tried to be quiet but we continued the journey all the time.,Not aggressive pretty calm,daytime,waxing\97% illuminated\within 3 days of full,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter32,2022-07-30 10:30:00,38 23.5720 N\ 9 4.8040 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Spade,Motorsailing,0 - 2,Calm,5 - 6 (17 - 27 knots),Day,0 - 25%,2 - 5,40 - 200m,On,Off,White/light,Red,No,No,The vessel is an old fishing boat with 90 years old that now operates in tourist sea with customers on board in search of dolphins when we heard on the radio that there was a group of orcas nearby\ we made an approach where 3 of our colleagues were and we kept the distance 100 meters when the 3 orcas approached\ I started filming at the moment when two of the orcas sank in front of us and emerged a little further in front. One of them disappeared when I felt a light touch on the tiller. I start the reverse gear slowly and suddenly I feel a huge hit again on the tiller when I increase the speed of reverse gear and direct the camera to the stern of the boat in search of the Orca and I see it coming out of the stern of the boat to escape the propeller. Fortunately I have the Video to prove the action taken. I continued in reverse and the group followed in our pursuit for a few minutes until it gave up. If I had turned off the engine I don't know what would have happened...,When I arrived at the place where my colleagues were with the orcas they seemed to be calm as my colleagues had been with them for some time\ always taking care not to have them in their stern. But with my approach despite the distance\ they headed towards our vessel. The initial touch was a small touch so I assumed it was curiosity and it was only because of the violence of the second touch that I decided to carry out the escape with the reverse gear. With the departure of the stern the 3 orcas started in pursuit at great speed until they gave up. and continued their march south.,daytime,waxing\3% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter31,2022-08-06 18:17:00,42 52.7040 N\ 9 18.3200 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,10 - 12.5m,Not towing,,,,Spade,Motorsailing,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,0 - 2,40 - 200m,On,On,White/light,White,Yes\ extensive - major works required,Yes,We were going from La Coruña to Vigo and after 9 hours sailing the wind dropped nearly to zero after passing Cabo de la Nave. We put on the engine\ kept the mainsail hoisted and activated the autopilot. Motoring at 6 knots direction South. After approx. 15min motoring we felt the first hit. We could not see them approaching. Just after the first hit\ we put the autopilot in stand-by\ switched off the engine and also all electronic devices including GPS\ unless the VHF. The main remained hoisted but since there was nearly no wind\ it had no impact in our speed. Our remaining speed was result of the inertia and of the orcas hits.,They were two orcas. The orcas seemed not to pay much attention on us and were focused on the rudder. However during the attack one remained in stand-by and the other hit the rudder. We can not say if they switched the roles in between. After each hit some seconds passed by\ as if they were analysing how to continue and then attacked again. Once the rudder was destroyed - only the rudder stock was left- they disappeared. 2min video available.,daytime,waxing\64% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter30,2022-08-08 11:30:00,43 23.0000 N\ 8 48.0000 W,No\ did not follow protocol\ interaction lasted 30 to 60 minutes,Sail,10 - 12.5m,Not towing,,,,Spade,Motoring,5 - 7,Moderate,3 - 4 (7 - 16 knots),Day,0 - 25%,0 - 2,20 - 40m,On,Off,White/light,Red,Yes\ extensive - major works required,Yes,We were totally surprised and not aware of the fact that there were attacks again of orcas to sailboats. We did not follow the instructions because we did not know them!! Wish we would have known. We left Marina Coruna but no sign or information there. We first felt a bang to the rudder and then saw the orcas. They were with five. Also small/young one. We were not informed about the orca issue at all. First and last time we read about it was in Dutch press in 2020. Hence we were not prepared and not informed about advised response etc. We continued motoring and did some maneuvering. No effect positive or negative. They stopped when the we stopped moving\ after the broke the rudder rod (see below). The engine was still on and in neutral at that point. We are a family of 5\ three minors and 2 adults and Dutch. We were very scared. We were repairing the main sail at the moment of the attack and no sail up at the moment it happened. Big waves and engine on. We tried to get away from them but could not. There was another sailing boat just behind us but they left them alone. After banging for 15 minutes our rudder got stuck under the hull. They stayed with us for another 15 minutes but the banging became less. Then a rescue boat arrived and helicopter. The orcas came back. Very scary. After 1\5 hours the towboat came. We could not use our rudder as it was stuck and the steering mechanism to the wheel broke in half due to the force.,They were very aggressive. Swimming around and coming from the front to the back and then diving deeper and banging to the rudder! Very frightening. I am not sure if I filled in the right position but I know it was 2 miles northeast of Islas Sisargas. We were drifting towards the island with no working rudder. The orca’s seemed very persistent and push our rudder blade to the left or the right every minute or so for 20 minutes it seemed. If I am correct\ the orcas stopped when the job was done. The rudder rod (between blade and steering wheel) was broken\ the blade got stuck against the hull\ we stopped moving and left the engine running in neutral. They shortly came back when the cruz roja ( Spanish Emergency Services) and the helicopter was at the scene.,daytime,waxing\82% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter29,2022-08-10 14:30:00,43 18.3400 N\ 9 0.0600 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,Not towing,,,,Full skeg,Motoring,3 - 4,Moderate,0 - 2 (0 - 6 knots),Day,25 - 50%,2 - 5,40 - 200m,On,On,Dark colour,Black,Yes\ minor - will wait until the end of the season,No,It was over in less than 5 minutes\ I herd a bang\ than 1 orca came up alongside\ than it was following for some seconds\ tried to film them but it was too late.,One rammed into my wind steering rudder\ then it came up alongside the boat\ for some seconds\ than went away,daytime,waxing\97% illuminated\within 3 days of full,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter28,2022-08-08 08:30:00,49 15.2190 N\ 8 31.4340 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,10 - 12.5m,Not towing,,,,Semi skeg,Sailing,5 - 7,Moderate,5 - 6 (17 - 27 knots),Day,0 - 25%,Over 10,200m+,On,On,White/light,Blue,Yes\ extensive - major works required,No,The first thing we noticed was the rudder being manipulated very forcefully back and forth\ the stand for our steering wheel shaking. After ca 3 turns we realized it must be an orca encounter\ so we turned off the autopilot and tried to lock the rudder. They were stronger than the rudder resistance\ so we don't know if it made any difference. They kept on ramming but mostly to one side after that\ pushing the rudder on its maximum angle. At one point they also turned the boat 180 degrees against the wind\ in what felt like one stable\ strong movement. We could see orcas on all sides of the boat\ but decided to stay inside the cockpit cover to keep a low profile. We saw at least a mother and a small child and 3 similar looking orcas. We also rolled in the genoa and kept a reefed mainsail for stability\ with almost no speed in the boat. Turned off the sonar after 5 minutes (as soon as we could think of it). The frequency and intensity of the rammings declined gradually towards the end of the encounter\ which lasted around 15 minutes. We called UK coast guard to inform about the encounter. After checking the rudder with a GoPro we contacted them again to ask for towing to land. There was very little left of our rudder. They suggested to try to manouvre with engine and the little piece of rudder\ and it worked! Slowly and wobbly we managed to get to Brest without assistance.,They made no sound before they started ramming\ so it came as a complete surprise. In the start they focused on ramming the rudder back and forth to the extremes. Sometimes they would swim off\ maybe 10-30 meters from the boat\ and then come back again for more ramming. There was a mother and child who swam in tandem - we did not see them approach the hull/rudder directly\ but it was hard to get a good overview sitting inside the cockpit\ so we cannot exclude the possibility. The orcas blew some air out from time to time after the encounter had started. It seemed like the 3 others went one at a time\ but in the beginning we were hit very frequently\ so they might've gone together aswell. Towards the end there were some breaks of maybe 30-60s between rammings. We saw at least 5 orcas\ but cannot exclude the possibility of there being more.,daytime,waxing\80% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter26,2022-08-05 10:00:00,43 13.0000 N\ 9 26.0000 W,No\ did not follow protocol\ interaction lasted 30 to 60 minutes,Sail,Over 15m,Not towing,,,,Spade,Motoring,8 - 11,Rough,7+ (28 knots+),Dusk,50 - 75%,Over 10,40 - 200m,On,On,White/light,Black,No,No,5th august\ 10pm\ the light was just starting to dim as the sun had set\ when a young adult sized orca jumped across our port bow (dolphin chair) and landed back in the water\ we immediately got our other crew up and slowed the boat to access where they were\ we could only see two orcas in total which were now positioned on our starboard stern and closing in towards our rudders. The sea state was 3-4m swells and 30-40knot winds and gusts\ so we were uncomfortable to go ‘dead in the water’ with no engines which the Spanish coastguard told us to do. Instead we attempted to outrun the orcas and switch our direction regularly. We also decided to go against ‘protocol’ and bang metal tools against our metal railings and stanchions which seemed to deter them for about 10 minutes. when they returned they carried on trying to get as close to the starboard stern again\ so we started to play loud music on a portable speaker\ banging pots and pans\ and wave black and white striped towels off the stern and after a few minutes they left us alone (during that last interaction the light died out too) so we can’t figure out if our deterrents worked or they got bored of us or the daylight running out made them leave?,The orca that flew over our port bow was quite an aggressive moment\ we couldn’t différenciate between the two that chased but one was very determined in coming as close as it could to the starboard stern\ they regularly came up for air and to maybe see what we were doing? but as soon as we began banging the pots and pans their behaviour seemed like they flinched from the noise and they pulled away.,daytime,waxing\49% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter25,2022-07-29 12:03:00,43 57.0000 N\ 7 51.0000 W,Yes\ followed protocol\ interaction lasted 30 to 60 minutes,Sail,10 - 12.5m,Not towing,,,,Spade,Sailing,3 - 4,Calm,3 - 4 (7 - 16 knots),Day,75 - 100%,Over 10,40 - 200m,On,On,White/light,Red,Yes\ extensive - major works required,Yes,At 12.00 we were attacked by a single young Orca (around 4m). We switched off every electronic device. The rudder did not respond anymore and. we called for help via VHF. This attack lasted 20 minutes. Around 1 hour later - we were towed to a rescue boat - the attack started again. This time it were 6 animals and the attack lasted for 20 minutes again.,The first attack was like playing of a single animal. The second one seems very coordinated\ a few animals left from us\ some right of the boats. They seemed to be kicking us around\ while we were towed to the rescue boat.,daytime,waxing\0% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter24,2022-08-06 14:50:00,42 51.9700 N\ 9 14.0500 W,Yes\ followed protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,Not towing,,,,Semi skeg,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,2 - 5,40 - 200m,On,On,White/light,Coppercoat,No,No,When comming close to Cap Finisterre\ we were warned by a boat in close vincinity via Channel 16\ that we should turn away\ otherwise "they might attack us". We were puzzled\ but wanted to keep radio silence\ as the boat seemed to be in trouble\ but in contact with a rescue station. So we started to look out for pirates or something similar. As there was no other place to turn to (rocks in the east\ too much wind and unsafe anchorages in the north)\ we decided to continue as there were only a few miles left\ and we dodged the other boat as good as we could. Then the other boat called us again via VHF: "I can see them coming towards you". . Only then we realized\ that this might be an Orca attack. Just some moments later\ one Orca swam towards us. We were warned by skipper of the other boat about the approach\ so we stopped the motor and stayed quiet and out of sight before the Orca reached us\ but we kept the instruments on\ due to the close rocks. The Orca bumped into our boat from below\ a few times\ just for two minutes\ then it lost interest and swam back to the other boat.,The Orca (just one) swam to our boat from the side. Under the boat it yanked our rudder\ then bumped into us from below. It came up to breath right next to our boat\ and bumped into our hull or keel again a few times\ before losing interest and leaving. We started the motor and checked our rudder as soon as help for the other boat arived. We were fine\ so we carried on carefully watching. About 20 minutes later we saw the Orca again\ in about 1 mile distance. So we stopped the motor\ stayed quiet\ and it passed us without bothering us. In further distance\ we could see 2 other Orcas passing.,daytime,waxing\62% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter23,2022-08-02 10:20:00,43 8.5000 N\ 9 22.3000 W,Yes\ followed protocol\ interaction lasted 30 to 60 minutes,Sail,12.5 - 15m,Not towing,,,,Twin rudder,Sailing,8 - 11,Moderate,3 - 4 (7 - 16 knots),Day,25 - 50%,5 - 10,40 - 200m,On,Off,White/light,Black,Yes\ moderate - immediate repairs required,No,Heard a mayday reference Orca attack around 0939 -0950 in area outside Muxia . As we were heading south towards that area we kept a lookout. At 10.40 we spotted three Orca two approx 7m in length and a smaller Orca around 5m in length approaching closely to our stern and interacting with the rudder we were sailing around 7-9 knots we dropped sail and the Orca then continued interacting with the rudder for 30/40 minutes pieces of the rudder were broken free and the engines were switched on one in forward the other in reverse and then alternated to try to deter them attacking saildrives Once engines were started the Orcas stood off some 20 m from the boat as if they were waiting for the engines to stop. After 15 minutes they then disappeared . On inspection one rudder was destroyed completely the other showed deep scratches but remained mainly intact .we then made our way to Muxia for repairs we heard that the Dutch sailboat which raised the initial mayday was towed into Camarinas for Repairs,Constantly grabbing and moving rudders then swim of slightly allowing other Orca in .No ramming of hull,daytime,waxing\20% illuminated,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter22,2022-07-30 14:10:00,43 48.0 N\ 7 26.0000 W,No\ did not follow protocol\ interaction lasted 10 to 30 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Sailing,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,2 - 5,40 - 200m,On,On,White/light,Blue,Yes\ extensive - major works required,Yes,Affalage des voiles puis marche arrière au moteur pour stopper la vitesse pendant 5/7minuttes sans effet sur les orques./// Lowering the sails then reverse with the engine to stop the speed for 5/7 minutes with no effect on the killer whales,Attitude d'approche tranquille voir joueurs. Ils ont croqué le safran a plusieurs reprises. Quelques coups de têtes dans la coque au début de l'attaque. Nous avons une vidéo assez claire si besoin./// Quiet approach looked like they were playing. They crunched the rudder several times. A few headbutts in the hull at the start of the attack. We have a fairly clear video if needed.,daytime,waxing\3% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter21,2022-07-28 14:15:00,48 9.0000 N\ 6 42.0000 W,No\ did not follow protocol\ interaction lasted 10 to 30 minutes,Sail,Under 10m,Not towing,,,,Spade,Sailing,3 - 4,Calm,3 - 4 (7 - 16 knots),Day,75 - 100%,Over 10,200m+,On,On,White/light,Black,Yes\ moderate - immediate repairs required,No,sailing using sails\ 3-4 knots 3-5 m/s wind. heading for Brest 90 degrees. 2 - 3 orca were turning the boat around\ and pushing and biting the rudder. they were not attacking the rudder on my windpilot ( windrudder)\ so i raised it above the water. I try to keep the rudder in the middle\ without force\ so it wont bang onto full rudder. Try to put chlorine in the toilet\ but they were pushing the boat backward\ so i try to drop by drop chlorine in the water behind the boat. next i start the engine and try to go backwards\ and after 1-2 minutes they stopped. and disappear. it took 15 minutes at all.,Orcas were swimming around the boat. and they attacked the rudder mostly from directly behind\ but also from the sides\ but most they came from behind. They were breathing heavily ( i dont know how the breathe normally\ but i could hear it when i was down below ),daytime,waning\0% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter20,2022-07-25 06:00:00,42 13.7700 N\ 9 20.2700 W,Yes\ followed protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,Not towing,,,,Twin rudder,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Dawn,50 - 75%,5 - 10,40 - 200m,On,On,White/light,Green,No,No,I came on deck at 0600. Two crew were on watch and had stopped engines at the moment I happened to arrive on deck. One member of crew was adamant the boat had been touched as the steering had moved considerably. I saw the orcas immediately. They were moving around the boat but mainly on the port/east side. I put the props to astern to stop them spinning as we were still moving through the water. I also put the auto helm to standby. Both myself and one crew member started to make video recordings on our phones. We watched the orcas until they moved away and stayed in position with engines off for about 35 minutes.,The orcas stayed close to the boat until quietly departing together. One appeared to move off first followed by the others. There were 3 or 4 of them.,dawn twilight,waning\11% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter19,2022-07-25 05:50:00,42 13.7700 N\ 9 20.2700 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,12.5 - 15m,Not towing,,,,Twin rudder,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Dawn,0 - 25%,Over 10,200m+,On,On,White/light,White,No,No,We were at the helm with autopilot on and the steering wheel was jolting and we knew we had Orcas. The helm and boat were knocked quite aggressively however when we turned off they became less interested. We recorded and have a video of all 4,Playful,dawn twilight,waning\11% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter18,2022-07-23 00:31:00,45 4.8500 N\ 2 2.0500 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Semi skeg,Sailing,5 - 7,Moderate,3 - 4 (7 - 16 knots),Night,75 - 100%,Over 10,40 - 200m,Off,On,White/light,Blue,Yes\ moderate - immediate repairs required,Yes,Very quick nightly interaction\ lasted around 20 seconds. We were aware of the proposed mitigation protocol but of course didn't have any time to try it. We were sailing (motor off) 5\5kts towards SSW in a 1-1.5m high swell and wind Bf4 from NW. Night was pitchblack (cloudy\ no moon)\ and the weather conditions were not good enough to hear distant blows. Two awake on-duty persons outside\ one awake person inside the sailboat. The three positions (navigation) lights were switched on. Nothing unusual noticeable ; three fishing boats approx 3nm NE from us. Suddenly we felt a strong push going from starboard to port side during several seconds. Boat direction was noticeably modified towards port side\ and was then reset by the autopilot. From the inside of the ship a noise similar to the one that can happen when you accidentally hit a fishing buoy was heard. Then nothing during approx 10 seconds. Then another ~3 sec push\ same kind as the previous one but seemed a bit lighter. Autopilot had some difficulty to cope\ but then worked again. Immediately after\ a blow is heard and two orcas are seen approx 3 meters behind the boat\ slightly on the port side. During the following 10-15 sec\ a few blows are heard\ and at least one orca is seen breathing again heading towards East\ lit by the light of our stern white navigation light\ approx 15 m from our boat. No other sign of the orcas afterwards. We switched on the engine for 20 minutes to leave the area faster and to check if the propeller had been damaged. No answers to our VHF calls. No leaks from the hull or from the rudder area. Then back to sailing ; we progressively hear an loud unusual sound and vibration coming from the rudder area\ in synchronicity with the periodic movement of the boat in the swell. Around 4 am we decide to head East towards shore. During the turning operation we suddenly can't control our direction anymore. Diving with a flashlight\ we see that the rudder is simply not there anymore. During the following hours we build some sort of custom rudder\ using various objects\ and 40nm later we finally manage to reach shore at sunset. A VHF-requested towing was then needed to enter the harbour. Several other moderate damage\ but the major repair is that the absent rudder will simply have to be replaced.,See above ; very few supplementary information due to the short duration\ night and weather conditions.,before dawn,waning\27% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter17,2022-07-25 20:25:00,42 32.5000 N\ 9 15.3000 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,12.5 - 15m,Not towing,,,,Twin rudder,Sailing,3 - 4,Moderate,3 - 4 (7 - 16 knots),Day,25 - 50%,5 - 10,40 - 200m,On,Off,White/light,Black,Yes\ extensive - major works required,No,A 19h55 le 25/07/2022\ à la demande du MRCC Finistère sommes allés porter assistance un autre voilier en difficulté suite à collision. A notre arrivée aux moteurs à côté de lui\ 4 orques sont venus attaquer tranquillement les deux safrans de notre catamaran. Le skipper du voilier nous a annoncé ne plus avoir de safran mais pas de voie d'eau. Nous avons immédiatement stoppé les moteurs puis toute l'électronique et tous les interrupteurs du tableau électrique comme indiqué dans les forums. Cela n'a absolument rien fait et les orques sont venus arracher les deux safrans. Cela a duré environ 10mn malgré les cris que nous avons fait pour les repousser. Avons remis le génois pour nous éloigner de la zone que les orques semblaient protéger. Nous sommes aidés violemment du moteur tribord pour virer de bord et sommes partis à la voile ./// At 7:55 p.m. on 25/07/2022\ at the request of the MRCC Finistère\ we went to assist a sailboat in difficulty following a collision. When we arrived at the engines next to him\ 4 killer whales quietly attacked the two rudders of our catamaran. The other sailboat's skipper told us that he no longer had any rudder but no leaks. We immediately stopped the motors and then all the electronics and all the switches on the electrical panel as indicated in the forums. It did absolutely nothing and the killer whales came and ripped off our two rudders. It lasted about 10 minutes despite the cries we made to push them away. We put the genoa back on to get away from the area the killer whales seemed to be protecting. We were powerfully helped by the starboard engine to tack and set sail.,Passage plusieurs fois sous la coque\ tournaient autour du catamaran avec attaque en venant par le côté. Saisie des safrans avec calme\ mais précision. Départ des orques lorsque plus de safran à croquer . En quittant la zone de l'attaque\ les orques ne nous ont pas suivi. Signalons qu'à notre arrivée il y avait à environ 500m de l'attaque un souffle de grand mammifère marin non identifié./// Passing several times under the hull\ circled around the catamaran with an attack coming from the side. Seizure of the rudders was calm\ but with precision. Departure of the killer whales when they had more rudder to chew. As we were leaving the area of ​​the attack\ the orcas did not follow us. Note that when we arrived about 500m from the attack we could smell a breath of large unidentified marine mammal,daytime,waning\8% illuminated\within 3 days of new,Not within 3 days of springs,,,,,,,,,,,,,,
